659's, x : 62.7068138
660's, x : 63.4748306
661's, x : 63.5546188
662's, x : 63.2854195
663's, x : 63.0439987
664's, x : 63.4049072
665's, x : 63.4748306
666's, x : 63.0439987
667's, x : 62.8498154
668's, x : 62.8498154
669's, x : 62.7400627
670's, x : 63.3145180
671's, x : 63.4049072
672's, x : 63.2847252
673's, x : 63.3145180
674's, x : 62.7400627
675's, x : 62.7068138
676's, x : 63.6843796
677's, x : 64.2257004
678's, x : 64.3047638
679's, x : 63.7015572
680's, x : 63.7438545
681's, x : 64.2642212
682's, x : 64.1712723
683's, x : 63.6813698
684's, x : 65.1399078
685's, x : 65.2342758
686's, x : 64.3047638
687's, x : 64.2257004
688's, x : 65.0008850
689's, x : 65.1399078
690's, x : 64.2257004
691's, x : 64.1739044
692's, x : 65.3372879
693's, x : 65.0097275
694's, x : 65.0357285
695's, x : 65.4144058
696's, x : 65.0008850
697's, x : 65.2213135
698's, x : 65.3660965
699's, x : 65.1399078
700's, x : 65.0097275
701's, x : 65.3372879
702's, x : 65.2213135
703's, x : 65.0008850
704's, x : 65.0097275
705's, x : 65.0008850
706's, x : 64.1739044
707's, x : 64.1712723
708's, x : 65.0357285
709's, x : 65.0097275
710's, x : 64.1712723
711's, x : 64.2642212
712's, x : 64.1739044
713's, x : 64.2257004
714's, x : 63.6843796
715's, x : 63.6393127
716's, x : 64.1739044
717's, x : 63.6393127
718's, x : 63.6813698
719's, x : 64.1712723
720's, x : 69.2774658
721's, x : 69.2691879
722's, x : 69.4624023
723's, x : 69.4697647
724's, x : 69.2479095
725's, x : 69.1731415
726's, x : 69.2774658
727's, x : 69.4697647
728's, x : 68.8552933
729's, x : 69.1144867
730's, x : 69.0930328
731's, x : 68.8091125
732's, x : 68.6480331
733's, x : 69.1013489
734's, x : 69.0422134
735's, x : 68.5809250
736's, x : 68.8907394
737's, x : 69.0785675
738's, x : 69.1144867
739's, x : 68.8552933
740's, x : 69.1731415
741's, x : 68.7160416
742's, x : 68.7524261
743's, x : 69.2774658
744's, x : 68.7160416
745's, x : 69.1731415
746's, x : 69.2479095
747's, x : 68.7877121
748's, x : 69.0727921
749's, x : 68.9183960
750's, x : 68.7067184
751's, x : 68.7533188
752's, x : 69.2171936
753's, x : 69.0422134
754's, x : 69.1013489
755's, x : 69.3859024
756's, x : 68.5809250
